name,scissor_kick_combined,xwoba,woba,babip,xslg,launch_angle,exit_velocity,hardhit_percent,k_percent,bb_percent
"Merrill, Jackson",True,0.318,0.293,0.29,0.482,14.4,89.3,46.88427299703264,22.5,0
"Neto, Zach",True,0.269,0.293,0.304,0.422,22.6,89.0,40.06849315068493,31.2,0
"Albies, Ozzie",False,0.254,0.295,0.264,0.365,18.3,86.7,28.205128205128204,14.0,0
"Freeman, Freddie",False,0.353,0.343,0.338,0.512,12.1,89.9,43.61111111111112,14.9,0
"Crow-Armstrong, Pete",False,0.335,0.376,0.36,0.508,20.0,89.2,49.354838709677416,26.0,0
"Adell, Jo",False,0.311,0.279,0.28,0.464,17.1,89.9,44.342507645259936,22.2,0
"Bichette, Bo",True,0.304,0.285,0.303,0.423,8.0,89.3,40.2088772845953,16.3,0
"Olson, Matt",True,0.351,0.372,0.295,0.563,18.8,92.7,50.75528700906344,22.1,0
"Devers, Rafael",False,0.311,0.329,0.296,0.481,13.7,92.4,51.419558359621455,23.7,0
"Turner, Trea",False,0.285,0.29,0.288,0.398,10.0,88.3,40.43126684636118,19.3,0
"Henderson, Gunnar",True,0.279,0.268,0.247,0.405,12.2,89.6,44.91525423728814,21.3,0
"Harper, Bryce",False,0.349,0.328,0.279,0.532,12.6,90.2,44.82758620689656,22.0,0
"Pages, Andy",True,0.313,0.323,0.31,0.455,16.1,89.1,42.816901408450704,18.9,0
"Lowe, Brandon",True,0.308,0.325,0.306,0.467,16.7,91.1,45.42483660130719,27.7,0
"Rafaela, Ceddanne",True,0.276,0.335,0.333,0.381,11.9,86.3,33.429394812680115,17.6,0
"Abrams, CJ",False,0.317,0.36,0.323,0.475,18.2,89.8,42.42424242424242,23.2,0
"Perez, Salvador",False,0.281,0.257,0.235,0.424,15.9,88.8,41.88790560471977,18.7,0
"Lile, Daylen",False,0.291,0.289,0.277,0.423,18.4,88.4,36.94444444444444,18.5,0
"Abreu, Wilyer",False,0.324,0.309,0.284,0.501,19.0,89.9,43.401759530791786,20.6,0
"Stewart, Sal",False,0.323,0.325,0.28,0.498,13.4,90.4,40.85365853658536,20.2,0
"Okamoto, Kazuma",False,0.274,0.29,0.28,0.428,19.5,90.3,43.77224199288256,31.3,0
"Greene, Riley",True,0.338,0.329,0.356,0.515,16.7,90.5,48.29931972789115,25.9,0
"Burleson, Alec",False,0.367,0.335,0.306,0.559,11.9,91.7,49.184782608695656,14.8,0
"Walker, Christian",False,0.273,0.306,0.274,0.405,14.9,89.5,42.35668789808918,23.6,0
"Schwarber, Kyle",False,0.338,0.361,0.321,0.543,21.5,93.1,52.03252032520326,35.2,0
"Reynolds, Bryan",False,0.317,0.332,0.343,0.472,7.8,90.6,46.34920634920635,22.0,0
"Alonso, Pete",False,0.359,0.323,0.293,0.56,15.8,94.1,55.79937304075236,24.0,0
"Nimmo, Brandon",False,0.361,0.327,0.331,0.537,11.5,92.0,51.37614678899083,18.9,0
"Machado, Manny",False,0.301,0.276,0.224,0.455,13.3,90.4,44.785276073619634,21.8,0
"Turang, Brice",True,0.321,0.336,0.346,0.475,7.7,89.3,43.03797468354431,22.4,0
"Gonzales, Nick",False,0.301,0.32,0.365,0.403,6.6,86.2,35.22727272727273,15.1,0
"Busch, Michael",False,0.293,0.294,0.302,0.438,14.4,88.1,39.40298507462687,20.4,0
"Herrera, Iván",True,0.284,0.29,0.286,0.399,9.1,89.5,41.14285714285714,15.8,0
"Rodríguez, Julio",False,0.339,0.309,0.293,0.5,13.6,89.9,42.98780487804878,17.8,0
"Tovar, Ezequiel",True,0.247,0.229,0.25,0.362,17.1,86.0,33.57664233576642,25.7,0
"Paredes, Isaac",True,0.275,0.294,0.267,0.388,23.7,86.3,29.275362318840585,13.3,0
"Happ, Ian",False,0.279,0.3,0.286,0.438,14.8,89.3,41.7910447761194,29.3,0
"Goodman, Hunter",True,0.307,0.355,0.309,0.489,18.5,90.5,46.27450980392157,33.2,0
"Bell, Josh",False,0.3,0.298,0.292,0.453,14.7,89.9,41.795665634674926,20.0,0
"Riley, Austin",True,0.277,0.275,0.299,0.423,19.0,90.9,44.60431654676259,27.8,0
"Arraez, Luis",False,0.283,0.326,0.322,0.376,15.5,86.0,20.0,3.9,0
"Montgomery, Colson",False,0.291,0.305,0.267,0.459,23.5,88.9,41.66666666666667,30.5,0
"Walker, Jordan",True,0.352,0.356,0.34,0.529,12.2,92.7,47.41641337386018,20.9,0
"Harris II, Michael",False,0.342,0.341,0.322,0.503,10.6,90.4,49.707602339181285,18.3,0
"Aranda, Jonathan",False,0.342,0.343,0.351,0.505,13.9,90.8,44.82758620689656,17.5,0
"Adames, Willy",False,0.273,0.287,0.273,0.405,22.5,87.3,38.48684210526316,25.8,0
"Vargas, Miguel",False,0.35,0.314,0.241,0.543,20.6,90.6,45.481049562682216,15.7,0
"Carroll, Corbin",False,0.31,0.316,0.287,0.468,14.2,91.6,49.21630094043887,20.6,0
"Arozarena, Randy",True,0.311,0.32,0.33,0.445,8.4,91.0,42.6751592356688,20.5,0
"Lee, Brooks",True,0.243,0.29,0.255,0.339,14.5,87.2,31.97674418604652,14.9,0
"Marsh, Brandon",False,0.306,0.319,0.338,0.444,13.1,89.4,45.45454545454545,23.3,0
"Dubón, Mauricio",True,0.292,0.297,0.293,0.397,15.1,86.5,30.76923076923077,11.8,0
"McGonigle, Kevin",True,0.306,0.322,0.317,0.444,20.4,87.8,36.141304347826086,11.7,0
"Tucker, Kyle",False,0.303,0.289,0.281,0.426,16.8,88.8,38.65814696485623,15.4,0
"Young, Cole",False,0.308,0.299,0.294,0.433,13.6,88.6,38.99721448467967,15.1,0
"Marte, Ketel",False,0.331,0.302,0.252,0.487,13.1,89.9,43.12169312169312,12.8,0
"Duran, Jarren",True,0.277,0.243,0.246,0.401,12.1,88.4,39.05723905723906,27.8,0
"Rumfield, TJ",False,0.278,0.33,0.325,0.388,16.0,83.9,28.07017543859649,14.4,0
"Benge, Carson",False,0.328,0.311,0.329,0.468,10.9,89.3,41.17647058823529,19.5,0
"Bregman, Alex",False,0.27,0.284,0.278,0.377,17.1,88.2,37.43455497382199,13.6,0
"Rocchio, Brayan",True,0.262,0.275,0.281,0.359,12.3,85.6,30.434782608695656,13.9,0
"Ohtani, Shohei",False,0.395,0.378,0.339,0.614,12.7,93.3,52.459016393442624,21.4,0
"Díaz, Yandy",False,0.332,0.34,0.327,0.466,6.3,90.9,47.56756756756757,11.5,0
"Caminero, Junior",True,0.345,0.362,0.284,0.533,9.1,93.0,50.57142857142857,18.2,0
"Tatis Jr., Fernando",True,0.34,0.314,0.336,0.479,5.3,91.7,52.73224043715848,17.6,0
"Castro, Willi",False,0.285,0.313,0.342,0.424,18.2,86.8,39.75903614457831,26.0,0
"Lopez, Otto",False,0.309,0.339,0.348,0.433,7.4,88.6,41.336633663366335,12.3,0
"Dingler, Dillon",True,0.363,0.359,0.298,0.549,17.2,89.0,44.33962264150944,18.6,0
"Alvarez, Yordan",True,0.456,0.425,0.336,0.732,19.2,94.4,54.00593471810089,15.9,0
"Hoerner, Nico",True,0.296,0.273,0.273,0.384,12.9,85.9,28.199052132701425,7.8,0
"Torkelson, Spencer",True,0.29,0.293,0.291,0.449,19.6,89.5,42.10526315789473,30.1,0
"Rice, Ben",False,0.357,0.366,0.283,0.555,14.3,92.0,47.8405315614618,22.6,0
"Wetherholt, JJ",False,0.319,0.29,0.268,0.469,11.8,89.6,44.38202247191011,12.4,0
"Wood, James",False,0.412,0.379,0.333,0.66,10.1,95.1,57.638888888888886,26.3,0
"Clement, Ernie",True,0.253,0.3,0.299,0.336,16.4,84.5,21.182266009852217,9.8,0
"Burger, Jake",False,0.283,0.3,0.288,0.423,13.4,90.0,47.42268041237113,23.9,0
"Smith, Cam",False,0.307,0.273,0.26,0.463,12.4,89.4,44.96402877697842,22.8,0
"Edwards, Xavier",False,0.281,0.298,0.32,0.382,9.3,85.8,28.87700534759358,12.2,0
"Duran, Ezequiel",True,0.29,0.325,0.328,0.408,10.6,87.5,36.17021276595745,20.4,0
"Contreras, Willson",False,0.353,0.368,0.347,0.543,18.4,90.8,46.69260700389105,25.6,0
"Giménez, Andrés",False,0.245,0.261,0.275,0.329,12.5,84.5,23.50877192982456,18.8,0
"Baldwin, Drake",False,0.349,0.321,0.304,0.528,10.3,91.6,51.23674911660777,20.7,0
"Clemens, Kody",True,0.305,0.304,0.253,0.456,16.1,91.8,46.07508532423208,21.1,0
"Meidroth, Chase",True,0.265,0.31,0.343,0.36,7.1,85.5,35.03184713375796,20.6,0
"Swanson, Dansby",False,0.268,0.272,0.241,0.402,16.0,89.2,40.67796610169492,21.3,0
"Jensen, Carter",True,0.257,0.293,0.291,0.387,20.7,90.6,43.51145038167939,27.5,0
"Caglianone, Jac",True,0.357,0.338,0.321,0.546,7.4,93.0,55.319148936170215,23.6,0
"Perdomo, Geraldo",False,0.273,0.28,0.266,0.362,13.7,85.7,29.88826815642458,9.5,0
"Raleigh, Cal",False,0.255,0.212,0.204,0.404,24.7,88.9,34.34343434343434,31.5,0
"Chisholm Jr., Jazz",False,0.264,0.278,0.28,0.394,14.9,89.6,42.46031746031746,29.7,0
"Naylor, Josh",False,0.296,0.284,0.285,0.408,12.6,87.4,36.55913978494624,10.8,0
"Kurtz, Nick",False,0.343,0.353,0.363,0.542,11.8,93.1,57.345971563981045,32.6,0
"Guerrero Jr., Vladimir",False,0.305,0.274,0.29,0.414,7.9,90.1,43.465909090909086,12.4,0
"Arenado, Nolan",True,0.26,0.291,0.268,0.37,18.8,85.1,32.323232323232325,20.6,0
"Varsho, Daulton",False,0.266,0.27,0.28,0.376,14.5,85.9,36.91756272401434,18.4,0
"Bohm, Alec",False,0.283,0.26,0.238,0.397,8.7,90.5,41.82825484764543,11.7,0
"Stowers, Kyle",False,0.304,0.316,0.325,0.465,18.4,91.9,55.021834061135365,31.0,0
"Langeliers, Shea",False,0.357,0.35,0.295,0.556,19.7,91.8,45.55160142348754,19.3,0
"Schmitt, Casey",True,0.354,0.332,0.291,0.534,21.5,89.9,44.98381877022653,17.3,0
"Suzuki, Seiya",True,0.317,0.353,0.329,0.47,19.1,88.8,38.68613138686132,20.1,0
"Soderstrom, Tyler",False,0.308,0.33,0.269,0.452,11.3,90.7,46.12794612794613,15.8,0
"Witt Jr., Bobby",True,0.368,0.328,0.32,0.539,16.5,92.8,53.18471337579618,15.2,0
"Contreras, William",True,0.307,0.292,0.288,0.45,11.6,89.8,42.737430167597765,11.8,0
"Stott, Bryson",False,0.307,0.304,0.306,0.432,14.5,89.2,40.625,15.3,0
"Mullins, Cedric",False,0.21,0.25,0.229,0.31,23.1,84.6,30.8550185873606,19.4,0
"García Jr., Luis",False,0.349,0.363,0.278,0.522,11.9,91.3,45.83333333333333,13.5,0
"Bellinger, Cody",False,0.313,0.301,0.289,0.439,17.7,89.1,37.58169934640523,14.6,0
"Ward, Taylor",True,0.298,0.281,0.305,0.422,14.8,88.9,38.65030674846626,15.9,0
"McCarthy, Jake",False,0.308,0.359,0.342,0.429,9.4,82.0,27.27272727272727,15.3,0
"Lee, Jung Hoo",False,0.297,0.324,0.317,0.389,9.6,86.4,29.155313351498634,8.5,0
"Mangum, Jake",False,0.268,0.311,0.367,0.352,2.4,83.3,27.734375,17.0,0
"Winn, Masyn",True,0.27,0.252,0.295,0.351,11.5,87.8,35.36977491961415,18.3,0
"Trout, Mike",True,0.359,0.321,0.29,0.566,17.4,90.1,47.5206611570248,24.1,0
"Nuñez, Nasim",False,0.23,0.232,0.296,0.289,5.8,81.8,21.59090909090909,18.1,0
"Semien, Marcus",True,0.287,0.256,0.238,0.419,18.4,86.2,36.26373626373626,20.1,0
"Bogaerts, Xander",True,0.278,0.243,0.254,0.389,5.5,88.4,40.19292604501607,16.6,0
"Muncy, Max",True,0.313,0.327,0.288,0.491,16.5,90.4,45.41832669322709,25.5,0
"Baty, Brett",False,0.285,0.25,0.285,0.41,12.0,89.6,39.83050847457627,24.1,0
"De La Cruz, Elly",True,0.368,0.369,0.337,0.551,9.6,93.7,52.25563909774437,20.7,0
"Springer, George",False,0.271,0.282,0.261,0.395,12.2,88.5,38.43283582089552,16.8,0
"Caballero, José",False,0.257,0.284,0.289,0.359,10.3,80.8,24.793388429752067,22.2,0
"McNeil, Jeff",False,0.271,0.254,0.276,0.357,13.7,85.9,31.428571428571427,11.9,0
"Church, Nathan",True,0.273,0.265,0.272,0.383,11.3,84.2,32.231404958677686,18.5,0
"O'Hearn, Ryan",False,0.302,0.327,0.309,0.435,14.0,89.3,43.47826086956522,19.1,0
"Marsee, Jakob",False,0.257,0.247,0.262,0.351,16.0,85.3,34.275618374558306,17.3,0
"Durbin, Caleb",False,0.26,0.299,0.267,0.346,11.1,82.5,27.67295597484277,9.1,0
"Ramírez, José",False,0.311,0.271,0.246,0.44,19.6,89.3,41.36690647482014,12.3,0
"Karros, Kyle",False,0.307,0.319,0.323,0.432,13.5,89.5,41.796875,16.6,0
"Buxton, Byron",False,0.338,0.36,0.282,0.541,20.9,90.3,47.3469387755102,22.0,0
"Mitchell, Garrett",True,0.339,0.323,0.376,0.504,2.2,92.6,51.141552511415526,27.7,0
"Sheets, Gavin",False,0.28,0.276,0.232,0.412,12.6,87.5,39.285714285714285,18.4,0
"Bauers, Jake",False,0.354,0.368,0.33,0.541,10.9,92.8,54.0650406504065,22.0,0
"Chourio, Jackson",True,0.338,0.348,0.328,0.523,11.8,92.2,47.63779527559055,20.6,0
"DeLauter, Chase",True,0.32,0.321,0.302,0.451,12.3,91.2,46.08150470219436,11.4,0
