name,scissor_kick_combined,xwoba,woba,babip,xslg,launch_angle,exit_velocity,hardhit_percent,k_percent,bb_percent
"Judge, Aaron",False,0.485,0.5,0.398,0.837,19.2,95.7,58.40336134453782,23.7,0.0
"Smith, Will",False,0.368,0.392,0.366,0.574,19.5,91.1,45.8128078817734,14.0,0.0
"Peña, Jeremy",False,0.346,0.377,0.362,0.495,8.9,89.0,42.8,11.6,0.0
"Aranda, Jonathan",False,0.388,0.37,0.406,0.577,16.1,92.9,54.82456140350877,20.5,0.0
"Meyers, Jake",True,0.336,0.347,0.368,0.467,11.4,88.2,35.602094240837694,9.8,0.0
"Stowers, Kyle",False,0.408,0.416,0.365,0.653,15.3,92.3,54.7945205479452,23.6,0.0
"Garcia, Maikel",False,0.346,0.359,0.331,0.494,10.1,91.6,46.08150470219436,6.7,0.0
"De La Cruz, Elly",True,0.369,0.379,0.354,0.562,8.8,91.1,45.98540145985402,17.4,0.0
"Freeman, Freddie",False,0.336,0.356,0.377,0.491,16.4,91.5,45.38152610441767,19.7,0.0
"Machado, Manny",False,0.399,0.369,0.328,0.603,14.5,94.1,54.93827160493827,12.7,0.0
"Lux, Gavin",False,0.297,0.334,0.363,0.399,9.8,88.5,38.35616438356164,13.4,0.0
"Guerrero Jr., Vladimir",False,0.396,0.359,0.326,0.581,9.0,93.3,51.75718849840255,10.6,0.0
"Buxton, Byron",False,0.388,0.398,0.323,0.621,19.0,93.0,57.20720720720721,19.2,0.0
"Henderson, Gunnar",False,0.361,0.354,0.352,0.505,10.0,93.4,54.18181818181819,17.4,0.0
"Pages, Andy",True,0.342,0.359,0.316,0.512,16.8,89.6,40.3448275862069,14.2,0.0
"Springer, George",True,0.388,0.358,0.317,0.601,17.5,91.2,48.333333333333336,13.3,0.0
"O'Hearn, Ryan",False,0.361,0.351,0.32,0.531,12.5,91.9,50.212765957446805,13.6,0.0
"Turner, Trea",False,0.313,0.332,0.328,0.446,11.5,89.3,39.935064935064936,11.0,0.0
"Burleson, Alec",False,0.362,0.352,0.3,0.536,18.2,92.2,45.038167938931295,9.0,0.0
"Frelick, Sal",False,0.29,0.318,0.309,0.383,13.1,86.0,27.819548872180448,7.3,0.0
"Wood, James",False,0.405,0.383,0.332,0.647,6.5,94.4,56.734693877551024,22.8,0.0
"Ohtani, Shohei",False,0.451,0.422,0.3,0.757,15.8,96.3,62.03007518796993,22.4,0.0
"Kirk, Alejandro",False,0.344,0.313,0.316,0.501,12.4,92.1,53.90334572490706,8.8,0.0
"Beck, Jordan",False,0.335,0.353,0.361,0.504,13.1,88.1,41.0958904109589,22.5,0.0
"Laureano, Ramón",False,0.365,0.36,0.331,0.569,15.4,90.4,50.29940119760479,21.2,0.0
"Ramírez, José",False,0.346,0.361,0.283,0.506,20.7,89.6,39.30817610062893,8.4,0.0
"Wilson, Jacob",False,0.288,0.31,0.308,0.371,10.3,84.2,18.30985915492958,5.9,0.0
"Smith, Pavin",False,0.31,0.35,0.377,0.475,12.6,90.3,46.15384615384615,27.4,0.0
"Goldschmidt, Paul",False,0.339,0.324,0.326,0.505,15.9,90.7,43.68231046931408,12.6,0.0
"Seager, Corey",False,0.429,0.362,0.309,0.682,12.0,93.8,54.92227979274611,17.2,0.0
"Perdomo, Geraldo",False,0.321,0.326,0.29,0.462,16.6,88.8,34.516129032258064,6.6,0.0
"Bohm, Alec",False,0.323,0.306,0.315,0.449,6.9,90.7,47.794117647058826,9.6,0.0
"Jeffers, Ryan",True,0.347,0.332,0.305,0.517,16.5,89.1,42.71844660194174,8.8,0.0
"Crow-Armstrong, Pete",False,0.36,0.384,0.305,0.581,21.3,90.2,44.982698961937714,19.1,0.0
"Bellinger, Cody",False,0.334,0.363,0.285,0.501,20.8,90.1,42.474916387959865,10.9,0.0
"Chourio, Jackson",True,0.328,0.346,0.313,0.485,12.0,89.6,42.331288343558285,14.2,0.0
"Lowe, Brandon",False,0.362,0.347,0.321,0.561,14.4,92.6,48.888888888888886,20.1,0.0
"Neto, Zach",False,0.37,0.346,0.338,0.569,16.1,91.7,48.14814814814815,21.6,0.0
"Barger, Addison",False,0.381,0.367,0.325,0.585,12.1,94.1,57.073170731707314,19.3,0.0
"Greene, Riley",True,0.347,0.367,0.366,0.558,17.2,90.6,47.083333333333336,30.8,0.0
"Rooker, Brent",False,0.385,0.358,0.313,0.596,16.2,91.3,47.31543624161073,16.8,0.0
"Carpenter, Kerry",False,0.369,0.373,0.29,0.594,22.8,92.2,48.0,15.1,0.0
"Busch, Michael",False,0.38,0.363,0.315,0.61,18.7,91.9,46.08294930875576,19.9,0.0
"Donovan, Brendan",False,0.356,0.318,0.301,0.512,12.4,90.0,40.0,8.4,0.0
"Moniak, Mickey",False,0.353,0.374,0.307,0.545,15.7,89.7,46.875,19.3,0.0
"Tucker, Kyle",False,0.371,0.346,0.287,0.57,19.1,90.8,42.76729559748428,10.4,0.0
"García Jr., Luis",False,0.366,0.319,0.298,0.532,10.4,90.7,47.25274725274725,9.6,0.0
"Naylor, Josh",False,0.319,0.322,0.299,0.455,12.4,88.8,39.04109589041096,10.9,0.0
"Domínguez, Jasson",False,0.319,0.324,0.344,0.451,14.1,91.1,51.741293532338304,22.1,0.0
"Holliday, Jackson",False,0.335,0.323,0.324,0.499,9.1,90.4,45.75645756457565,17.1,0.0
"Witt Jr., Bobby",False,0.372,0.337,0.313,0.543,15.4,93.3,48.55305466237942,15.9,0.0
"Sosa, Lenyn",True,0.335,0.319,0.327,0.486,19.1,90.6,42.91845493562232,17.0,0.0
"Suzuki, Seiya",True,0.385,0.374,0.295,0.617,19.6,92.7,51.07142857142857,19.8,0.0
"Goodman, Hunter",True,0.317,0.357,0.333,0.485,17.7,91.4,51.30434782608696,23.4,0.0
"Edwards, Xavier",False,0.28,0.285,0.317,0.366,9.8,87.1,31.800766283524908,8.7,0.0
"Hoerner, Nico",True,0.298,0.294,0.296,0.397,14.4,87.1,28.915662650602407,3.8,0.0
"Clement, Ernie",True,0.274,0.296,0.3,0.363,17.6,87.1,25.080385852090032,6.3,0.0
"Jung, Josh",True,0.343,0.323,0.315,0.512,11.7,88.8,45.36585365853659,15.9,0.0
"Díaz, Yandy",False,0.351,0.332,0.291,0.516,6.2,93.7,55.04885993485343,12.5,0.0
