name,scissor_kick_combined,bat_speed,swing_length,attack_angle,attack_direction,swing_path_tilt
"Judge, Aaron",False,76.9,8.1,14.621116725336536,-6.1634178322710245,38.53215304717139
"Smith, Will",False,69.7,7.2,11.65364983135046,1.1251460444884056,33.618654913285944
"Peña, Jeremy",False,72.4,7.5,10.266313149499426,-7.684952514603623,29.770810090483423
"Aranda, Jonathan",False,70.5,7.3,10.215498559044171,3.7261759261763454,35.631715647341615
"Meyers, Jake",True,68.6,7.0,6.526793914276109,-2.237910918771875,32.48114243366499
"Stowers, Kyle",False,75.1,6.8,11.604279767615456,0.2076584403374877,33.8989585753201
"Garcia, Maikel",False,72.0,7.3,4.677690921432916,1.28213384191275,26.72188476816337
"De La Cruz, Elly",True,74.5,7.2,8.345718346881796,0.544793608380608,34.035738634945496
"Freeman, Freddie",False,69.4,6.9,10.617372288162054,1.7405917413484433,42.91369751800627
"Machado, Manny",False,74.7,7.8,7.425515473216842,-0.5959670608946223,26.835931435889123
"Lux, Gavin",False,69.5,7.4,11.274069748734448,2.869366120444742,33.49674212505548
"Guerrero Jr., Vladimir",False,76.5,7.6,1.601459485460502,-3.2781362518165515,26.644632179581496
"Buxton, Byron",False,75.1,7.9,13.50458363110062,-5.837923524099354,33.75970448245007
"Henderson, Gunnar",False,75.4,7.3,8.605988633259791,1.4331575363442537,29.2644841958082
"Pages, Andy",True,72.7,7.9,7.725727405752339,-3.719932539705344,40.83299423586605
"Springer, George",True,73.4,7.5,12.827991417181808,0.3228158285254067,35.0215831567743
"O'Hearn, Ryan",False,72.0,7.2,11.982899410865205,-0.8208354770169388,33.114607194930336
"Turner, Trea",False,70.9,7.6,8.278604296163708,-3.131826797594336,27.95613400307032
"Burleson, Alec",False,72.5,7.5,10.43290287568674,-0.3831778268315536,30.86615720653308
"Frelick, Sal",False,68.5,7.1,8.322427832996356,-2.149651788122492,27.858608178116363
"Wood, James",False,75.9,7.6,10.55656850935491,1.1354078246385388,40.33174255158948
"Ohtani, Shohei",False,76.0,8.0,15.548511260878389,-2.5359754374891263,36.96520763903224
"Kirk, Alejandro",False,72.4,7.2,7.986305736994242,2.430190066707429,23.91400450115417
"Beck, Jordan",False,73.6,7.7,9.781110763171384,-3.19003331019478,32.01209712492462
"Laureano, Ramón",False,72.3,7.1,16.9101399864602,0.0084181632108653,35.99806857839033
"Ramírez, José",False,71.1,7.2,9.288074265355608,-9.464780283534278,29.838062439093363
"Wilson, Jacob",False,63.7,6.1,2.525842176112608,-0.7918088464398337,35.21489249673349
"Smith, Pavin",False,72.2,7.4,13.494983304245473,0.7747245277869899,32.975468293006266
"Goldschmidt, Paul",False,72.8,7.6,10.01517137259403,1.890250111773987,31.79931324767088
"Seager, Corey",False,72.7,6.7,13.424931724506528,2.7760410812959093,34.12504260190713
"Perdomo, Geraldo",False,68.1,6.9,7.134140681485019,-1.85226997065043,35.12758332981241
"Bohm, Alec",False,71.6,7.3,5.302578527016255,4.813180731645142,29.848175000273223
