name,scissor_kick_combined,pa,obp,slg,singles,doubles,triples,hrs,whiffs,swings,bip,singles_per_pa,doubles_per_pa,triples_per_pa,hrs_per_pa,singles_per_bip,doubles_per_bip,triples_per_bip,hrs_per_bip,whiff_percent,ops
"Merrill, Jackson",True,385,0.241,0.409,59,17,1,15,252,946,297,0.15324675324675324,0.04415584415584416,0.0025974025974025974,0.03896103896103896,0.19865319865319866,0.05723905723905724,0.003367003367003367,0.050505050505050504,0.266384778012685,0.6499999999999999
"Neto, Zach",False,381,0.252,0.474,53,21,3,19,307,946,264,0.13910761154855644,0.05511811023622047,0.007874015748031496,0.049868766404199474,0.20075757575757575,0.07954545454545454,0.011363636363636364,0.07196969696969698,0.32452431289640593,0.726
"Henderson, Gunnar",False,418,0.232,0.423,57,19,3,18,227,932,327,0.13636363636363635,0.045454545454545456,0.007177033492822967,0.0430622009569378,0.1743119266055046,0.0581039755351682,0.009174311926605505,0.05504587155963303,0.24356223175965666,0.655
"Albies, Ozzie",False,418,0.261,0.452,70,21,0,18,203,930,359,0.1674641148325359,0.050239234449760764,0.0,0.0430622009569378,0.19498607242339833,0.0584958217270195,0.0,0.05013927576601671,0.21827956989247313,0.7130000000000001
"Freeman, Freddie",False,378,0.31,0.511,74,27,1,15,202,929,319,0.19576719576719576,0.07142857142857142,0.0026455026455026454,0.03968253968253968,0.23197492163009403,0.08463949843260188,0.003134796238244514,0.047021943573667714,0.21743810548977396,0.821
"Adell, Jo",False,389,0.254,0.426,66,16,1,16,245,913,310,0.16966580976863754,0.04113110539845758,0.002570694087403599,0.04113110539845758,0.2129032258064516,0.05161290322580645,0.0032258064516129032,0.05161290322580645,0.2683461117196057,0.6799999999999999
"Olson, Matt",True,386,0.282,0.564,56,26,0,27,223,903,302,0.14507772020725387,0.06735751295336788,0.0,0.06994818652849741,0.18543046357615894,0.08609271523178808,0.0,0.08940397350993377,0.2469545957918051,0.8459999999999999
"Turner, Trea",False,408,0.255,0.409,71,18,1,14,249,903,324,0.17401960784313725,0.04411764705882353,0.0024509803921568627,0.03431372549019608,0.2191358024691358,0.05555555555555555,0.0030864197530864196,0.043209876543209874,0.2757475083056478,0.6639999999999999
"Crow-Armstrong, Pete",False,375,0.305,0.575,66,19,6,23,252,897,276,0.176,0.050666666666666665,0.016,0.06133333333333333,0.2391304347826087,0.06884057971014493,0.021739130434782608,0.08333333333333333,0.2809364548494983,0.8799999999999999
"Harper, Bryce",False,367,0.259,0.514,51,20,2,22,277,894,288,0.13896457765667575,0.05449591280653951,0.005449591280653951,0.05994550408719346,0.17708333333333334,0.06944444444444445,0.006944444444444444,0.0763888888888889,0.3098434004474273,0.773
"Bichette, Bo",False,410,0.268,0.39,84,15,1,10,169,890,345,0.2048780487804878,0.036585365853658534,0.0024390243902439024,0.024390243902439025,0.24347826086956523,0.043478260869565216,0.002898550724637681,0.028985507246376812,0.1898876404494382,0.658
"Lowe, Brandon",False,378,0.257,0.499,52,23,1,21,310,887,276,0.13756613756613756,0.06084656084656084,0.0026455026455026454,0.05555555555555555,0.18840579710144928,0.08333333333333333,0.0036231884057971015,0.07608695652173914,0.34949267192784667,0.756
"Devers, Rafael",False,375,0.264,0.522,49,27,1,22,264,884,283,0.13066666666666665,0.072,0.0026666666666666666,0.058666666666666666,0.17314487632508835,0.09540636042402827,0.0035335689045936395,0.07773851590106007,0.2986425339366516,0.786
"Pages, Andy",True,391,0.271,0.474,65,22,2,17,201,870,317,0.16624040920716113,0.056265984654731455,0.005115089514066497,0.043478260869565216,0.20504731861198738,0.0694006309148265,0.006309148264984227,0.05362776025236593,0.23103448275862068,0.745
"Abreu, Wilyer",False,389,0.256,0.45,59,22,3,15,208,870,307,0.15167095115681234,0.056555269922879174,0.007712082262210797,0.038560411311053984,0.19218241042345277,0.07166123778501629,0.009771986970684038,0.048859934853420196,0.23908045977011494,0.706
"Perez, Salvador",False,374,0.214,0.379,50,15,0,15,224,869,303,0.13368983957219252,0.040106951871657755,0.0,0.040106951871657755,0.16501650165016502,0.04950495049504951,0.0,0.04950495049504951,0.25776754890678943,0.593
"Schwarber, Kyle",False,354,0.274,0.597,51,12,1,33,300,867,230,0.1440677966101695,0.03389830508474576,0.002824858757062147,0.09322033898305085,0.2217391304347826,0.05217391304347826,0.004347826086956522,0.14347826086956522,0.3460207612456747,0.871
"Greene, Riley",True,364,0.297,0.496,69,23,1,15,258,861,270,0.18956043956043955,0.06318681318681318,0.0027472527472527475,0.04120879120879121,0.25555555555555554,0.08518518518518518,0.003703703703703704,0.05555555555555555,0.29965156794425085,0.7929999999999999
"Walker, Christian",False,370,0.241,0.463,48,20,1,20,254,855,282,0.12972972972972974,0.05405405405405406,0.002702702702702703,0.05405405405405406,0.1702127659574468,0.07092198581560284,0.0035460992907801418,0.07092198581560284,0.2970760233918129,0.704
"Rafaela, Ceddanne",True,372,0.292,0.465,69,25,3,11,203,850,309,0.18548387096774194,0.06720430107526881,0.008064516129032258,0.02956989247311828,0.22330097087378642,0.08090614886731391,0.009708737864077669,0.03559870550161812,0.2388235294117647,0.757
"Alonso, Pete",False,383,0.264,0.496,58,21,0,22,231,849,292,0.1514360313315927,0.05483028720626632,0.0,0.057441253263707574,0.19863013698630136,0.07191780821917808,0.0,0.07534246575342465,0.27208480565371024,0.76
"Abrams, CJ",False,380,0.3,0.588,64,21,2,27,235,843,297,0.16842105263157894,0.05526315789473684,0.005263157894736842,0.07105263157894737,0.21548821548821548,0.0707070707070707,0.006734006734006734,0.09090909090909091,0.27876631079478054,0.8879999999999999
"Burleson, Alec",False,395,0.294,0.482,74,26,1,15,178,841,339,0.18734177215189873,0.06582278481012659,0.002531645569620253,0.0379746835443038,0.2182890855457227,0.07669616519174041,0.0029498525073746312,0.04424778761061947,0.2116527942925089,0.776
"Reynolds, Bryan",False,362,0.29,0.492,63,26,2,14,242,839,281,0.17403314917127072,0.0718232044198895,0.0055248618784530384,0.03867403314917127,0.22419928825622776,0.09252669039145907,0.0071174377224199285,0.0498220640569395,0.28843861740166865,0.782
"Riley, Austin",True,352,0.236,0.386,56,14,1,12,273,835,258,0.1590909090909091,0.03977272727272727,0.002840909090909091,0.03409090909090909,0.21705426356589147,0.05426356589147287,0.003875968992248062,0.046511627906976744,0.3269461077844311,0.622
"Paredes, Isaac",True,359,0.265,0.442,62,18,1,14,136,830,309,0.17270194986072424,0.05013927576601671,0.002785515320334262,0.03899721448467967,0.20064724919093851,0.05825242718446602,0.003236245954692557,0.045307443365695796,0.163855421686747,0.7070000000000001
"Bell, Josh",False,364,0.253,0.431,55,23,1,13,206,829,288,0.1510989010989011,0.06318681318681318,0.0027472527472527475,0.03571428571428571,0.1909722222222222,0.0798611111111111,0.003472222222222222,0.04513888888888889,0.24849215922798554,0.6839999999999999
"Goodman, Hunter",True,348,0.273,0.59,48,16,0,31,295,826,235,0.13793103448275862,0.04597701149425287,0.0,0.08908045977011494,0.20425531914893616,0.06808510638297872,0.0,0.13191489361702127,0.35714285714285715,0.863
"Machado, Manny",False,372,0.216,0.458,39,18,0,23,218,826,293,0.10483870967741936,0.04838709677419355,0.0,0.06182795698924731,0.13310580204778158,0.06143344709897611,0.0,0.07849829351535836,0.2639225181598063,0.674
"Turang, Brice",True,363,0.286,0.5,60,25,3,15,178,825,283,0.1652892561983471,0.06887052341597796,0.008264462809917356,0.04132231404958678,0.21201413427561838,0.08833922261484099,0.01060070671378092,0.053003533568904596,0.21575757575757576,0.786
"Rodríguez, Julio",False,358,0.268,0.442,65,16,0,15,222,825,295,0.18156424581005587,0.0446927374301676,0.0,0.04189944134078212,0.22033898305084745,0.05423728813559322,0.0,0.05084745762711865,0.2690909090909091,0.71
"Nimmo, Brandon",False,363,0.287,0.463,65,25,4,10,187,825,294,0.1790633608815427,0.06887052341597796,0.011019283746556474,0.027548209366391185,0.22108843537414966,0.08503401360544217,0.013605442176870748,0.034013605442176874,0.22666666666666666,0.75
"Happ, Ian",False,339,0.242,0.467,44,18,2,18,260,819,239,0.12979351032448377,0.05309734513274336,0.0058997050147492625,0.05309734513274336,0.18410041841004185,0.07531380753138076,0.008368200836820083,0.07531380753138076,0.31746031746031744,0.7090000000000001
"Harris II, Michael",False,376,0.303,0.515,74,21,0,19,206,816,306,0.19680851063829788,0.05585106382978723,0.0,0.05053191489361702,0.24183006535947713,0.06862745098039216,0.0,0.06209150326797386,0.25245098039215685,0.8180000000000001
"Busch, Michael",False,367,0.262,0.433,63,18,2,13,208,812,287,0.17166212534059946,0.04904632152588556,0.005449591280653951,0.035422343324250684,0.21951219512195122,0.0627177700348432,0.006968641114982578,0.04529616724738676,0.2561576354679803,0.6950000000000001
"Aranda, Jonathan",False,344,0.311,0.493,76,17,0,14,177,808,282,0.22093023255813954,0.04941860465116279,0.0,0.040697674418604654,0.2695035460992908,0.06028368794326241,0.0,0.04964539007092199,0.21905940594059406,0.804
"Vargas, Miguel",False,369,0.253,0.511,45,25,1,22,165,805,311,0.12195121951219512,0.06775067750677506,0.0027100271002710027,0.05962059620596206,0.14469453376205788,0.08038585209003216,0.003215434083601286,0.0707395498392283,0.20496894409937888,0.764
"Wood, James",False,369,0.304,0.626,56,25,1,30,252,803,268,0.15176151761517614,0.06775067750677506,0.0027100271002710027,0.08130081300813008,0.208955223880597,0.09328358208955224,0.0037313432835820895,0.11194029850746269,0.3138231631382316,0.9299999999999999
"Lee, Brooks",True,364,0.256,0.439,60,15,3,15,169,801,312,0.16483516483516483,0.04120879120879121,0.008241758241758242,0.04120879120879121,0.19230769230769232,0.04807692307692308,0.009615384615384616,0.04807692307692308,0.21098626716604243,0.6950000000000001
