"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
1,669194,"Nelson, Ryne",4,25,1,0,1,1,0.885,0.158,0.143,1,1,89.8,-17,2137,91.4,92.3,0,1,0,0.8999999999999915,6.8,83,108,89,103,295,307,265,"-0.52","0.52","75.8","7.1",1,1,1,0,0,0,0,0,0,0,1.26,1.47,0.88,0.88,"89.8",10,0,0,0,5.63,-0.19,0.87,3.07,1,0,"52",0.143,0.194,"-52",0.857,0.857,0.806,0.727,0,"49.6",11.958824111380784,8.728894433487648,23.020819229452933,1,46.70290195135097,30.14297210957395
7,680700,"Palacios, Richie",16,43.8,0.75,0.25,0.75,1,0.757,0.577,0.608,3,4,88.6,7.5,2017,84.5,84.47,1,7,0,0,6.23,112,147,120,153,289,315,279,"-1.025","1.025","66.5","6.9",4,4,2,1,0,0,0,0,0,0,2.66,0.62429,0.37714,-0.22857,"93.0",160,25,0,0,5.34,0.89,0.11,2.23,0.75,0,"14.642857143",0.608,0.726,"-14.642857143",0.142,0.14200000000000002,0.274,0.18,14.3,"23.5",2.944811869496273,0.4200773996913868,24.916356696151983,0.42857142857142855,34.50844723741697,27.279273475916387
9,676551,"Hicklen, Brewer",18,50,0.667,0,1,0.667,0.59,0.277,0.239,2,3,88.9,-6.5,2221,87.4,87.36,4,9,0,0,6,108,152,121,149,306,339,307,"-0.548","0.548","71.9","8.2",3,2,2,0,0,0,1,33.3,0,0,2.57111,0.39444,0.15889,0.15889,"95.3",170,50,50,33.33333333333333,6.2,-2.14,0.26,1.94,0.667,1,"6.088888889",0.239,0.424,"-6.088888889",0.428,0.42800000000000005,0.243,0.313,44.4,"42.4",15.378308462656149,-9.633501263204113,30.067690680091037,0.4444444444444444,41.38784961535949,35.48470471670271
3,690976,"Freeland, Alex",14,21.4,0.5,0,0.5,0.5,0.442,0.647,0.69,1,2,97.5,10.5,2310,88.1,87.77,1,3,0,-0.29999999999999716,5.8,112,146,112,150,288,318,297,"-0.073","0.073","73.1","7.5",2,2,1,0,0,0,0,0,0,0,2.34667,0.56333,-0.16667,0.16667,"97.4",181,50,0,0,5.89,-1.98,0.43,2.1,0.5,0,"2.433333333",0.69,0.82,"-2.433333333",-0.19,-0.18999999999999995,-0.32,-0.205,33.3,,15.163704712713672,-1.704554374159561,33.98364152983666,1,34.21934603204855,33.186118634669704
8,687231,"Hernaiz, Darell",18,44.4,0.5,0.5,0.4,1,0.637,0.454,0.368,3,6,81.7,-6.7,2353,89.7,89.5,1,8,0,-0.20000000000000284,6.23,111,150,117,144,292,325,295,"-1.941","1.941","67.5","7.3",6,6,2,0,0,1,0,0,0,0,2.59375,0.30143,0.28625,0.28625,"92.5",104,33.33333333333333,16.666666666666664,16.666666666666664,5.67,-1.75,0.18,2.18,0.5,1,"24.2625",0.368,0.708,"-24.2625",0.132,0.132,0.292,0.183,12.5,"37.9",8.071934731126719,-6.626937632294949,33.91139764177551,0.5,36.83626835978246,30.02167135751282
4,702358,"Lipscomb, Trey",16,25,0.5,0,1,0.5,0.442,0.099,0.106,1,2,88.8,-51,2316,93.9,94.85,1,4,0,0.8999999999999915,6.6,112,135,115,137,310,330,300,"0.167","-0.167","70.0","6.9",2,1,1,0,0,0,1,50,0,0,2.0625,0.505,0.72,0.39,"88.3",163,0,0,0,5.76,-0.9,-0.57,2.44,0.5,0,"-4.175",0.106,0.107,"4.175",0.394,0.394,0.393,0.343,25,"34.6",-5.061588050908297,15.937420774114063,33.406203890919016,0.25,33.57714108071754,18.016266989029006
57,676356,"DeLuca, Jonny",127,44.9,0.448,0.138,0.52,0.586,0.445,0.314,0.33,13,29,83.8,8.9,2246,91,91.35,14,57,0,0.4000000000000057,6.45,111,152,111,147,290,319,278,"-2.45","2.45","70.2","7.6",29,25,11,0,2,0,4,13.8,0,0,2.08386,0.68719,0.50561,0.23754,"91.4",137,24,0,0,5.63,-0.91,0.05,2.32,0.448,0,"4.298245614",0.33,0.392,"-4.298245614",0.118,0.118,0.194,0.131,24.6,"33.6",6.28306441677738,-7.325183635422621,25.277041062698274,0.5964912280701754,35.737011811820764,32.193926190096015
18,571912,"Maile, Luke",62,29,0.444,0.444,0.429,0.889,0.564,0.472,0.376,4,9,96.3,29,2173,89.4,90.2,3,18,0,0.7999999999999972,6.61,101,151,122,146,310,324,296,"-2.544","2.544","66.9","6.3",9,8,2,1,0,1,1,11.1,0,0,2.12778,0.74333,0.20111,0.01222,"92.6",204,50,12.5,11.11111111111111,5.95,-0.48,0.2,2.58,0.444,1,"14.133333333",0.376,0.747,"-14.133333333",0.068,0.068,0.142,0.092,16.7,"44.7",11.053302505515546,4.895889167922077,32.67577491589042,0.6111111111111112,36.30495729828707,31.260172909270132
94,694388,"Loperfido, Joey",200,47,0.444,0.222,0.472,0.667,0.479,0.379,0.352,20,45,90.7,14.6,2220,88.9,88.92,20,94,0,0,6.33,113,145,111,151,284,324,301,"-7.612","7.612","72.6","7.6",45,39,16,1,0,3,6,13.3,0,0,2.44819,0.51462,0.40255,-0.23617,"92.4",158,43.58974358974359,7.6923076923076925,6.666666666666667,5.78,-1.24,-0.01,2.45,0.444,3,"8.09787234",0.352,0.536,"-8.09787234",0.092,0.09200000000000003,0.131,0.1,21.3,"37.1",15.644305090186228,6.350235332963342,37.43433408467224,0.425531914893617,38.6610865064758,25.242719451982207
12,542963,"Brantly, Rob",19,63.2,0.4,0,0.4,0.4,0.354,0.266,0.282,2,5,89.4,31.8,2214,91.1,90.65,5,12,0,-0.5,6.32,117,148,113,152,281,308,296,"0.161","-0.161","69.9","6.9",5,5,2,0,0,0,0,0,0,0,2.095,0.7,0.09667,0.09667,"89.7",205,20,0,0,5.81,1.73,-0.01,2.55,0.4,0,"-1.341666667",0.282,0.328,"1.341666667",0.118,0.11800000000000005,0.072,0.088,41.7,"40.1",11.770424632685454,-6.188285192677726,34.55752794767122,0.25,35.35341826071441,28.199885917655745
62,621512,"Nido, Tomás",119,52.1,0.393,0,0.5,0.393,0.348,0.312,0.32,11,28,87.9,14,2316,91.2,91.39,15,62,0,0.20000000000000284,6.46,109,148,119,144,305,325,292,"0.811","-0.811","69.0","7.7",28,22,11,0,0,0,6,21.4,0,0,1.98468,0.78839,0.36806,0.13645,"90.9",170,40.909090909090914,0,0,5.8,-0.87,0,2.46,0.393,0,"-1.308064516",0.32,0.403,"1.308064516",0.073,0.07300000000000001,-0.01,0.036,24.2,"35.7",12.342372511808215,7.034396422725507,31.43421837534856,0.6129032258064516,40.99063428370114,23.222534590257123
