name,scissor_kick_combined,xwoba,woba,babip,slg,xslg,attack_angle,attack_direction,swing_path_tilt,hardhit_percent,obp,k_percent,bb_percent,singles,doubles,triples,hrs,bat_speed,swing_length,pa,whiffs,swings,launch_angle,launch_speed,bip
"Merrill, Jackson",True,0.308,0.278,0.276,0.409,0.463,8.63754797298573,0.0789617318858175,38.5202405293135,46.62162162162162,0.241,22.9,0,59,17,1,15,71.5,7.5,385,252,946,14.0,88.8,297
"Neto, Zach",True,0.278,0.307,0.314,0.474,0.438,19.2363356161231,-5.677698700010926,40.05065391767376,39.92395437262358,0.252,30.7,0,53,21,3,19,68.7,7.0,381,307,946,21.9,88.9,264
"Henderson, Gunnar",True,0.277,0.278,0.256,0.423,0.402,9.724988278018746,0.5793294948235305,31.68469560218965,44.03669724770643,0.232,21.8,0,57,19,3,18,72.7,7.3,418,227,932,11.7,89.4,327
"Albies, Ozzie",False,0.258,0.3,0.267,0.452,0.373,11.42185996013644,-4.184467415773107,34.869273223563205,27.88732394366197,0.261,14.1,0,70,21,0,18,67.1,7.1,418,203,930,17.9,86.8,359
"Freeman, Freddie",False,0.355,0.349,0.336,0.511,0.52,6.470509479986129,3.737929729421034,42.23895048511746,43.573667711598745,0.31,15.6,0,74,27,1,15,69.0,6.7,378,202,929,13.1,90.1,319
"Adell, Jo",False,0.318,0.291,0.282,0.426,0.472,9.185035297402996,-4.123885960794647,35.4586776684654,43.648208469055376,0.254,20.3,0,66,16,1,16,75.3,7.7,389,245,913,17.1,89.6,310
"Olson, Matt",True,0.345,0.357,0.298,0.564,0.548,9.519462392856306,-1.2795409792024603,33.64147543124781,50.49833887043189,0.282,21.8,0,56,26,0,27,72.9,7.5,386,223,903,18.2,92.7,302
"Turner, Trea",False,0.278,0.284,0.29,0.409,0.389,8.194180036486795,-2.613369100963153,25.630673823091325,41.66666666666667,0.255,20.6,0,71,18,1,14,70.2,7.5,408,249,903,10.1,89.0,324
"Crow-Armstrong, Pete",False,0.327,0.372,0.361,0.575,0.497,14.300997062940963,-4.898419489855296,35.25047071063053,48.188405797101446,0.305,26.4,0,66,19,6,23,72.0,7.3,375,252,897,19.6,88.7,276
"Harper, Bryce",False,0.345,0.323,0.274,0.514,0.525,11.93775677330552,-0.9958081508265644,37.08946100107194,44.79166666666667,0.259,21.5,0,51,20,2,22,72.7,7.3,367,277,894,12.5,90.1,288
"Bichette, Bo",True,0.31,0.282,0.299,0.39,0.433,0.9668596062888852,4.703328384724392,37.61266008118914,41.86046511627907,0.268,15.9,0,84,15,1,10,68.2,7.1,410,169,890,7.5,89.4,345
"Lowe, Brandon",True,0.31,0.317,0.298,0.499,0.47,14.7112234460952,-1.1962395644439183,33.68252548385165,44.927536231884055,0.257,27.0,0,52,23,1,21,70.9,7.0,378,310,887,16.9,90.9,276
"Devers, Rafael",False,0.311,0.331,0.295,0.522,0.49,8.550170397463534,6.84880736607078,30.576696937909137,50.70921985815603,0.264,24.5,0,49,27,1,22,70.6,7.4,375,264,884,14.3,92.2,283
"Pages, Andy",True,0.312,0.316,0.297,0.474,0.457,5.855241125977312,-1.784713796327975,39.875246488946125,43.53312302839117,0.271,18.9,0,65,22,2,17,70.8,7.6,391,201,870,16.3,88.9,317
"Abreu, Wilyer",False,0.312,0.299,0.289,0.45,0.479,7.2525875354167155,1.3383112841944866,33.179818384536944,42.34527687296417,0.256,20.8,0,59,22,3,15,72.4,7.1,389,208,870,18.6,89.6,307
"Perez, Salvador",False,0.283,0.251,0.226,0.379,0.428,11.318901530956849,-3.850888901102197,34.463275450829215,42.9042904290429,0.214,19.0,0,50,15,0,15,70.2,7.7,374,224,869,16.1,89.1,303
"Lile, Daylen",False,0.291,0.282,0.278,0.415,0.422,11.56455897811647,-0.3273913597922665,39.20261494012548,35.16819571865443,0.248,17.8,0,61,22,5,11,69.4,7.4,399,201,868,17.7,88.1,328
"Schwarber, Kyle",False,0.339,0.366,0.325,0.597,0.547,14.862513697003084,-8.848421100294797,29.23706896532752,52.40174672489083,0.274,35.0,0,51,12,1,33,74.2,7.4,354,300,867,22.1,93.3,230
"Greene, Riley",True,0.35,0.337,0.365,0.496,0.535,13.888207162159116,0.9457118220733206,44.017277798215225,51.11111111111111,0.297,25.8,0,69,23,1,15,74.1,7.1,364,258,861,17.5,91.4,270
"Walker, Christian",False,0.262,0.298,0.263,0.463,0.388,7.250604477097174,-4.413958813384546,28.62998592323997,41.84397163120568,0.241,23.8,0,48,20,1,20,72.1,7.4,370,254,855,15.2,89.3,282
"Rafaela, Ceddanne",True,0.267,0.324,0.328,0.465,0.366,7.582608750767124,1.114487486235097,32.01478159850072,33.66013071895425,0.292,16.9,0,69,25,3,11,67.3,7.1,372,203,850,11.5,86.1,309
"Alonso, Pete",False,0.352,0.321,0.293,0.496,0.544,9.8672413794986,3.14811490426258,33.66302147345953,55.13698630136986,0.264,23.8,0,58,21,0,22,73.0,7.1,383,231,849,14.7,94.1,292
"Abrams, CJ",False,0.322,0.373,0.322,0.588,0.489,12.405171809763054,-4.310499180943966,28.96635235821445,42.9054054054054,0.3,21.8,0,64,21,2,27,70.6,7.6,380,235,843,18.9,89.9,297
"Burleson, Alec",False,0.364,0.331,0.312,0.482,0.552,12.298942858584724,3.325935581859964,35.777992870692245,48.5207100591716,0.294,14.2,0,74,26,1,15,71.6,7.5,395,178,841,11.3,91.5,339
"Stewart, Sal",False,0.324,0.318,0.276,0.495,0.499,11.532046037416755,6.318414415788399,33.04078362616987,41.21621621621622,0.262,19.6,0,56,23,0,21,70.4,7.5,382,225,841,13.5,90.4,307
"Reynolds, Bryan",False,0.322,0.333,0.341,0.492,0.482,9.73641887674756,3.4473661395958426,37.73497613632344,46.97508896797153,0.29,22.4,0,63,26,2,14,70.5,6.9,362,242,839,7.1,90.9,281
"Okamoto, Kazuma",False,0.281,0.295,0.276,0.464,0.444,14.949242585944717,-4.222870756378161,30.94042404228751,46.37096774193548,0.235,31.5,0,49,13,0,23,71.0,7.9,362,282,835,17.9,90.9,248
"Riley, Austin",True,0.275,0.266,0.289,0.386,0.418,10.797290269755658,-3.5584848587891744,31.62400449934079,43.798449612403104,0.236,26.7,0,56,14,1,12,74.0,7.5,352,273,835,18.6,90.7,258
"Paredes, Isaac",True,0.272,0.301,0.275,0.442,0.384,14.440851668803276,-10.468351203324335,34.21963833559585,29.773462783171524,0.265,13.9,0,62,18,1,14,65.8,7.7,359,136,830,23.9,86.5,309
"Bell, Josh",False,0.3,0.291,0.287,0.431,0.452,9.259213943006811,-1.5250735021878752,33.69153376274508,43.05555555555556,0.253,20.9,0,55,23,1,13,70.3,7.9,364,206,829,13.4,89.9,288
"Walker, Jordan",True,0.359,0.362,0.338,0.547,0.539,7.196680004186556,-4.654013117189762,30.029085911484813,50.0,0.305,21.4,0,69,23,0,22,77.2,8.3,374,254,827,11.4,93.5,294
"Goodman, Hunter",True,0.318,0.362,0.314,0.59,0.508,14.230583400254115,-5.446664091464484,24.178967934645964,45.92274678111588,0.273,32.5,0,48,16,0,31,73.9,7.3,348,295,826,18.2,90.7,235
"Machado, Manny",False,0.296,0.281,0.212,0.458,0.453,6.85764215098709,-0.5561801632097758,26.31838054558385,43.68600682593857,0.216,21.2,0,39,18,0,23,72.7,7.8,372,218,826,12.8,90.0,293
"Turang, Brice",True,0.323,0.334,0.332,0.5,0.483,6.689348247286918,10.015253183249682,36.09157780226131,43.41637010676156,0.286,22.0,0,60,25,3,15,67.7,6.6,363,178,825,7.5,89.6,283
"Rodríguez, Julio",False,0.334,0.303,0.289,0.442,0.495,7.361248495413963,-3.7794311363588617,31.200125803771577,43.197278911564624,0.268,17.6,0,65,16,0,15,75.0,7.7,358,222,825,13.2,89.9,295
"Nimmo, Brandon",False,0.36,0.32,0.331,0.463,0.536,6.193829161944309,4.061528426018821,29.389959116435,51.70068027210885,0.287,19.0,0,65,25,4,10,70.6,6.9,363,187,825,10.9,92.3,294
"Tovar, Ezequiel",True,0.248,0.222,0.242,0.326,0.365,9.076470256833572,-1.1512717178403868,35.22374712068814,32.93172690763052,0.198,25.7,0,41,17,0,8,69.7,7.4,335,241,824,16.3,85.8,249
"Gonzales, Nick",False,0.304,0.33,0.377,0.431,0.408,8.626209930308937,2.0961773849439016,35.841082666358226,37.25490196078432,0.329,15.6,0,96,17,1,6,68.5,7.3,365,198,823,6.3,85.9,308
"Happ, Ian",False,0.282,0.3,0.29,0.467,0.446,10.561686111084718,-4.062042391630694,33.448853683819785,41.42259414225941,0.242,29.5,0,44,18,2,18,70.6,6.8,339,260,819,15.2,89.3,239
"Herrera, Iván",True,0.28,0.283,0.278,0.403,0.396,5.919833408064253,-1.7400134587521268,30.25640607472628,39.48220064724919,0.257,15.9,0,67,15,1,12,71.7,7.7,370,166,819,9.6,89.1,311
"Dubón, Mauricio",True,0.288,0.291,0.283,0.413,0.394,3.4693729688743256,1.9735366702570485,30.403174194250035,30.6060606060606,0.266,12.6,0,67,21,2,10,67.1,7.6,380,136,817,15.6,86.2,329
"Harris II, Michael",False,0.35,0.348,0.331,0.515,0.518,6.769118189186028,-2.961912059663976,31.347435192098114,50.1639344262295,0.303,18.6,0,74,21,0,19,72.8,8.1,376,206,816,10.9,90.7,306
